表別,地價區段,修正細項,填寫值,資料來源,計算/查表依據,基準表項目ID,狀態
表4,P003-00,15接近學校之程度,—,表4 條件欄留白,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：現場勘查實地量距：設施名稱＋距離(M)；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須另行勘查,shulin.individual.near_school,資料不足
表4,P004-00,15接近學校之程度,—,表4 條件欄留白,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：現場勘查實地量距：設施名稱＋距離(M)；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須另行勘查,shulin.individual.near_school,資料不足
表4,P002-00,16接近市場之程度,—,表4 條件欄留白,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：現場勘查實地量距：設施名稱＋距離(M)；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須另行勘查,shulin.individual.near_market,資料不足
表4,P003-00,16接近市場之程度,—,表4 條件欄留白,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：現場勘查實地量距：設施名稱＋距離(M)；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須另行勘查,shulin.individual.near_market,資料不足
表4,P004-00,16接近市場之程度,—,表4 條件欄留白,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：現場勘查實地量距：設施名稱＋距離(M)；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須另行勘查,shulin.individual.near_market,資料不足
表4,P002-00,17接近公園、廣場之程度,—,表4 條件欄留白,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：現場勘查實地量距：設施名稱＋距離(M)；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須另行勘查,shulin.individual.near_park,資料不足
表4,P003-00,17接近公園、廣場之程度,—,表4 條件欄留白,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：現場勘查實地量距：設施名稱＋距離(M)；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須另行勘查,shulin.individual.near_park,資料不足
表4,P004-00,17接近公園、廣場之程度,—,表4 條件欄留白,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：現場勘查實地量距：設施名稱＋距離(M)；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須另行勘查,shulin.individual.near_park,資料不足
表4,P002-00,18接近車站之程度,—,表4 條件欄留白,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：現場勘查實地量距：設施名稱＋距離(M)；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須另行勘查,shulin.individual.near_station,資料不足
表4,P003-00,18接近車站之程度,—,表4 條件欄留白,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：現場勘查實地量距：設施名稱＋距離(M)；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須另行勘查,shulin.individual.near_station,資料不足
表4,P004-00,18接近車站之程度,—,表4 條件欄留白,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：現場勘查實地量距：設施名稱＋距離(M)；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須另行勘查,shulin.individual.near_station,資料不足
表4,P002-00,19接近商圈之程度,—,表4 條件欄留白,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：現場勘查實地量距：設施名稱＋距離(M)；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須另行勘查,shulin.individual.near_business,資料不足
表4,P003-00,19接近商圈之程度,—,表4 條件欄留白,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：現場勘查實地量距：設施名稱＋距離(M)；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須另行勘查,shulin.individual.near_business,資料不足
表4,P004-00,19接近商圈之程度,—,表4 條件欄留白,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：現場勘查實地量距：設施名稱＋距離(M)；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須另行勘查,shulin.individual.near_business,資料不足
表4,P002-00,20嫌惡設施之有無,—,表4 條件欄留白,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：現場勘查：嫌惡設施名稱＋距離(M)、停車方便性；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須另行勘查,shulin.individual.nuisance,資料不足
表4,P003-00,20嫌惡設施之有無,—,表4 條件欄留白,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：現場勘查：嫌惡設施名稱＋距離(M)、停車方便性；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須另行勘查,shulin.individual.nuisance,資料不足
表4,P004-00,20嫌惡設施之有無,—,表4 條件欄留白,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：現場勘查：嫌惡設施名稱＋距離(M)、停車方便性；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須另行勘查,shulin.individual.nuisance,資料不足
表4,P002-00,21停車方便性,—,表4 條件欄留白,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：現場勘查：嫌惡設施名稱＋距離(M)、停車方便性；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須另行勘查,shulin.individual.parking_ease,資料不足
表4,P003-00,21停車方便性,—,表4 條件欄留白,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：現場勘查：嫌惡設施名稱＋距離(M)、停車方便性；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須另行勘查,shulin.individual.parking_ease,資料不足
表4,P004-00,21停車方便性,—,表4 條件欄留白,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：現場勘查：嫌惡設施名稱＋距離(M)、停車方便性；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須另行勘查,shulin.individual.parking_ease,資料不足
表4,P002-00,22使用分區或編定,+0.00%,表3 區段層級「使用分區」；分區為法定管制，宗地與所在區段一致：第一種住宅區；比準地「第一種住宅區」／比較標的「第一種住宅區」,查表：5級，最大±15.0%，級距 3.75%；(2-2)×3.75,shulin.individual.zoning,確認
表4,P003-00,22使用分區或編定,+0.00%,表3 區段層級「使用分區」；分區為法定管制，宗地與所在區段一致：第一種住宅區；比準地「第一種住宅區」／比較標的「第一種住宅區」,查表：5級，最大±15.0%，級距 3.75%；(2-2)×3.75,shulin.individual.zoning,確認
表4,P004-00,22使用分區或編定,+0.00%,表3 區段層級「使用分區」；分區為法定管制，宗地與所在區段一致：第一種住宅區；比準地「第一種住宅區」／比較標的「第一種住宅區」,查表：5級，最大±15.0%，級距 3.75%；(2-2)×3.75,shulin.individual.zoning,確認
表4,P002-00,23建蔽率,+0.00%,表3 區段層級「建蔽率」；法定管制值，宗地與所在區段一致：50%；比準地「50%」／比較標的「50%」,查表：5級，最大±10.0%，級距 2.5%；(4-4)×2.5,shulin.individual.bcr,確認
表4,P003-00,23建蔽率,+0.00%,表3 區段層級「建蔽率」；法定管制值，宗地與所在區段一致：50%；比準地「50%」／比較標的「50%」,查表：5級，最大±10.0%，級距 2.5%；(4-4)×2.5,shulin.individual.bcr,確認
表4,P004-00,23建蔽率,+0.00%,表3 區段層級「建蔽率」；法定管制值，宗地與所在區段一致：50%；比準地「50%」／比較標的「50%」,查表：5級，最大±10.0%，級距 2.5%；(4-4)×2.5,shulin.individual.bcr,確認
表4,P002-00,24容積率,—,表3 區段層級「容積率」；法定管制值，宗地與所在區段一致：260%；比準地「260%」／比較標的「200%」,基準表列為敘述型（詳備註）：容積率差異以土地開發分析法進行試算調整；本項需與區域因素容積率併同考量，調整不足者另於區域因素補充調整，差異率無查表矩陣可得,shulin.individual.far,條件可確認／差異率不可查表
表4,P003-00,24容積率,—,表3 區段層級「容積率」；法定管制值，宗地與所在區段一致：260%；比準地「260%」／比較標的「260%」,基準表列為敘述型（詳備註）：容積率差異以土地開發分析法進行試算調整；本項需與區域因素容積率併同考量，調整不足者另於區域因素補充調整，差異率無查表矩陣可得,shulin.individual.far,條件可確認／差異率不可查表
表4,P004-00,24容積率,—,表3 區段層級「容積率」；法定管制值，宗地與所在區段一致：260%；比準地「260%」／比較標的「260%」,基準表列為敘述型（詳備註）：容積率差異以土地開發分析法進行試算調整；本項需與區域因素容積率併同考量，調整不足者另於區域因素補充調整，差異率無查表矩陣可得,shulin.individual.far,條件可確認／差異率不可查表
表4,P002-00,25有無禁限建,+0.00%,表3 有無禁止建築「無」、有無限制建築「無」；比準地「無禁止或限制建築」／比較標的「無禁止或限制建築」,查表：5級，最大±50.0%，級距 12.5%；(1-1)×12.5,shulin.individual.build_ban_restrict,確認
表4,P003-00,25有無禁限建,+0.00%,表3 有無禁止建築「無」、有無限制建築「無」；比準地「無禁止或限制建築」／比較標的「無禁止或限制建築」,查表：5級，最大±50.0%，級距 12.5%；(1-1)×12.5,shulin.individual.build_ban_restrict,確認
表4,P004-00,25有無禁限建,+0.00%,表3 有無禁止建築「無」、有無限制建築「無」；比準地「無禁止或限制建築」／比較標的「無禁止或限制建築」,查表：5級，最大±50.0%，級距 12.5%；(1-1)×12.5,shulin.individual.build_ban_restrict,確認
表4,P002-00,6其他-無尾巷,—,表4 條件欄留白,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：現場勘查，並於備註欄敘明調整理由（手冊 六(二)6）；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得,shulin.individual.dead_end_alley,資料不足
表4,P003-00,6其他-無尾巷,—,表4 條件欄留白,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：現場勘查，並於備註欄敘明調整理由（手冊 六(二)6）；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得,shulin.individual.dead_end_alley,資料不足
表4,P004-00,6其他-無尾巷,—,表4 條件欄留白,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：現場勘查，並於備註欄敘明調整理由（手冊 六(二)6）；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得,shulin.individual.dead_end_alley,資料不足
